fecha,marca,zona,tipo_cristal,precio
2025-01-01,RENAULT,CABA,Aleta/Ventilete,48448.44391627756
2025-01-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,45679.96140677598
2025-01-01,RENAULT,Rosario,Aleta/Ventilete,42911.478897274406
2025-01-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,83054.47528504724
2025-01-01,TOYOTA,CABA,Aleta/Ventilete,41275.96146908914
2025-01-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,38917.335099426906
2025-01-01,TOYOTA,Rosario,Aleta/Ventilete,36558.708729764665
2025-01-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,70758.7910898671
2025-01-01,VOLKSWAGEN,CABA,Aleta/Ventilete,44337.46874847061
2025-01-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,41803.89910570086
2025-01-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,39270.32946293111
2025-01-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,76007.08928309247
2025-04-01,CHEVROLET,CABA,Aleta/Ventilete,45570.52832171634
2025-04-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,42966.49813190397
2025-04-01,CHEVROLET,Rosario,Aleta/Ventilete,40362.46794209161
2025-04-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,78120.90569437086
2025-04-01,FIAT,CABA,Aleta/Ventilete,42035.089629313945
2025-04-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,39633.084507638865
2025-04-01,FIAT,Rosario,Aleta/Ventilete,37231.079385963785
2025-04-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,72060.15365025248
2025-04-01,FORD,CABA,Aleta/Ventilete,48025.70348224948
2025-04-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,45281.37756897809
2025-04-01,FORD,Rosario,Aleta/Ventilete,42537.05165570669
2025-04-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,82329.77739814197
2025-04-01,PEUGEOT,CABA,Aleta/Ventilete,131838.40606118127
2025-04-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,130727.30087939004
2025-04-01,PEUGEOT,Rosario,Aleta/Ventilete,129616.1956975988
2025-04-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,145727.2208335718
2025-04-01,RENAULT,CABA,Aleta/Ventilete,49901.89723376588
2025-04-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,47050.360248979254
2025-04-01,RENAULT,Rosario,Aleta/Ventilete,44198.823264192644
2025-04-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,85546.10954359865
2025-04-01,TOYOTA,CABA,Aleta/Ventilete,42514.24031316181
2025-04-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,40084.85515240971
2025-04-01,TOYOTA,Rosario,Aleta/Ventilete,37655.46999165761
2025-04-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,72881.5548225631
2025-04-01,VOLKSWAGEN,CABA,Aleta/Ventilete,45667.592810924725
2025-04-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,43058.01607887189
2025-04-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,40448.43934681905
2025-04-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,78287.30196158524
2023-12-01,CHEVROLET,CABA,Custodia/Coleta,95315.92054885392
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,89869.29651749083
2023-12-01,CHEVROLET,Rosario,Custodia/Coleta,84422.67248612776
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,163398.7209408924
2023-12-01,FIAT,CABA,Custodia/Coleta,76673.47505586423
2023-12-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,72292.13362410056
2023-12-01,FIAT,Rosario,Custodia/Coleta,67910.79219233688
2023-12-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,131440.2429529101
2023-12-01,FORD,CABA,Custodia/Coleta,41044.998007151946
2023-12-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,38699.569549600405
2023-12-01,FORD,Rosario,Custodia/Coleta,36354.14109204886
2023-12-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,70362.8537265462
2023-12-01,PEUGEOT,CABA,Custodia/Coleta,64137.350051119516
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,60472.35861962699
2023-12-01,PEUGEOT,Rosario,Custodia/Coleta,56807.36718813444
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,109949.74294477634
2023-12-01,RENAULT,CABA,Custodia/Coleta,91839.90098987985
2023-12-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,86591.90664760102
2023-12-01,RENAULT,Rosario,Custodia/Coleta,81343.91230532216
2023-12-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,157439.83026836545
2023-12-01,TOYOTA,CABA,Custodia/Coleta,122764.25393937816
2023-12-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,115749.15371427088
2023-12-01,TOYOTA,Rosario,Custodia/Coleta,108734.05348916353
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,210453.00675321973
2023-12-01,VOLKSWAGEN,CABA,Custodia/Coleta,48199.36543670342
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,45445.115983177515
2023-12-01,VOLKSWAGEN,Rosario,Custodia/Coleta,42690.8665296516
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,82627.48360577729
2024-02-01,CHEVROLET,CABA,Custodia/Coleta,100081.7165762966
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,94362.76134336539
2024-02-01,CHEVROLET,Rosario,Custodia/Coleta,88643.80611043415
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,171568.65698793705
2024-02-01,FIAT,CABA,Custodia/Coleta,80507.14880865744
2024-02-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,75906.7403053056
2024-02-01,FIAT,Rosario,Custodia/Coleta,71306.33180195374
2024-02-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,138012.2551005556
2024-02-01,FORD,CABA,Custodia/Coleta,43097.24790750954
2024-02-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,40634.54802708043
2024-02-01,FORD,Rosario,Custodia/Coleta,38171.84814665131
2024-02-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,73880.99641287349
2024-02-01,PEUGEOT,CABA,Custodia/Coleta,67344.21755367551
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,63495.97655060834
2024-02-01,PEUGEOT,Rosario,Custodia/Coleta,59647.73554754117
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,115447.23009201515
2024-02-01,RENAULT,CABA,Custodia/Coleta,96431.89603937385
2024-02-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,90921.50197998107
2024-02-01,RENAULT,Rosario,Custodia/Coleta,85411.10792058829
2024-02-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,165311.82178178377
2024-02-01,TOYOTA,CABA,Custodia/Coleta,128902.46663634712
2024-02-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,121536.61139998444
2024-02-01,TOYOTA,Rosario,Custodia/Coleta,114170.75616362173
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,220975.65709088073
2024-02-01,VOLKSWAGEN,CABA,Custodia/Coleta,50609.33370853859
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,47717.37178233639
2024-02-01,VOLKSWAGEN,Rosario,Custodia/Coleta,44825.40985613418
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,86758.85778606616
2024-03-01,CHEVROLET,CABA,Custodia/Coleta,105085.80240511145
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,99080.89941053366
2024-03-01,CHEVROLET,Rosario,Custodia/Coleta,93075.99641595584
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,180147.0898373339
2024-03-01,FIAT,CABA,Custodia/Coleta,84532.50624909031
2024-03-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,79702.07732057087
2024-03-01,FIAT,Rosario,Custodia/Coleta,74871.64839205143
2024-03-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,144912.8678555834
2024-03-01,FORD,CABA,Custodia/Coleta,44550.01310591986
2024-03-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,42004.298071295874
2024-03-01,FORD,Rosario,Custodia/Coleta,39458.58303667189
2024-03-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,76371.45103871977
2024-03-01,PEUGEOT,CABA,Custodia/Coleta,70711.42843135928
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,66670.77537813876
2024-03-01,PEUGEOT,Rosario,Custodia/Coleta,62630.12232491822
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,121219.59159661591
2024-03-01,RENAULT,CABA,Custodia/Coleta,101253.49084134254
2024-03-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,95467.57707898015
2024-03-01,RENAULT,Rosario,Custodia/Coleta,89681.6633166177
2024-03-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,173577.41287087294
2024-03-01,TOYOTA,CABA,Custodia/Coleta,135347.58996816445
2024-03-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,127613.44196998366
2024-03-01,TOYOTA,Rosario,Custodia/Coleta,119879.29397180282
2024-03-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,232024.43994542473
2024-03-01,VOLKSWAGEN,CABA,Custodia/Coleta,53139.800393965525
2024-03-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,50103.240371453205
2024-03-01,VOLKSWAGEN,Rosario,Custodia/Coleta,47066.68034894089
2024-03-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,91096.80067536946
2024-05-01,CHEVROLET,CABA,Custodia/Coleta,114099.27602999118
2024-05-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,107579.31739970598
2024-05-01,CHEVROLET,Rosario,Custodia/Coleta,101059.35876942075
2024-05-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,195598.7589085563
2024-05-01,FIAT,CABA,Custodia/Coleta,88759.13156154483
2024-05-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,83687.18118659942
2024-05-01,FIAT,Rosario,Custodia/Coleta,78615.23081165401
2024-05-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,152158.51124836257
2024-05-01,FORD,CABA,Custodia/Coleta,46897.128017933086
2024-05-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,44217.29213119406
2024-05-01,FORD,Rosario,Custodia/Coleta,41537.456244455025
2024-05-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,80395.076602171
2024-05-01,PEUGEOT,CABA,Custodia/Coleta,74246.99985292724
2024-05-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,70004.31414704569
2024-05-01,PEUGEOT,Rosario,Custodia/Coleta,65761.62844116414
2024-05-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,127280.57117644671
2024-05-01,RENAULT,CABA,Custodia/Coleta,106658.12982963245
