fecha,marca,zona,tipo_cristal,precio_ipc
2024-07-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,51137.90538782485
2024-07-01,TOYOTA,Rosario,Aleta/Ventilete,48038.638405851074
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,92978.00979604517
2024-07-01,VOLKSWAGEN,CABA,Aleta/Ventilete,57608.753116951644
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,54316.82436741155
2024-07-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,51024.89562979714
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,98757.8624862028
2024-10-01,CHEVROLET,CABA,Aleta/Ventilete,53783.38626819248
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,50710.049910010064
2024-10-01,CHEVROLET,Rosario,Aleta/Ventilete,47636.71355185044
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,92200.09074547284
2024-10-01,FIAT,CABA,Aleta/Ventilete,42497.748110032735
2024-10-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,40069.30536088801
2024-10-01,FIAT,Rosario,Aleta/Ventilete,37640.862611761295
2024-10-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,72853.28247434183
2024-10-01,FORD,CABA,Aleta/Ventilete,54583.10633498779
2024-10-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,51464.0716872742
2024-10-01,FORD,Rosario,Aleta/Ventilete,48345.03703958376
2024-10-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,93571.03943140764
2024-10-01,PEUGEOT,CABA,Aleta/Ventilete,162988.76847912415
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,162160.7821931305
2024-10-01,PEUGEOT,Rosario,Aleta/Ventilete,161332.79590721408
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,173338.5970540449
2024-10-01,RENAULT,CABA,Aleta/Ventilete,56872.018419975335
2024-10-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,53622.18879597674
2024-10-01,RENAULT,Rosario,Aleta/Ventilete,50372.35917200226
2024-10-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,97494.88871995769
2024-10-01,TOYOTA,CABA,Aleta/Ventilete,48452.47960964008
2024-10-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,45683.76648908923
2024-10-01,TOYOTA,Rosario,Aleta/Ventilete,42915.05336855891
