fecha,marca,zona,tipo_cristal,precio_ipc,instalacion_ipc
2024-02-01,CHEVROLET,Rosario,Custodia/Coleta,168868.61390382136,38479.80384494274
2024-02-01,CHEVROLET,Rosario,Luneta,186889.86688652766,63091.79045446035
2024-02-01,CHEVROLET,Rosario,Parabrisas,279004.18944069225,87562.75103379639
2024-02-01,CHEVROLET,Rosario,Puerta,91312.71337007935,25653.077236983
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,125759.67308517406,69034.70529619018
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,326842.47852352523,69034.70529619018
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,361722.3230061825,113189.84832104557
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,540008.1085948882,157091.98354804664
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,176734.28394208904,46022.91202241344
2024-02-01,FIAT,CABA,Aleta/Ventilete,60227.85995118547,35221.78841642356
2024-02-01,FIAT,CABA,Custodia/Coleta,153368.08317695194,35221.78841642356
2024-02-01,FIAT,CABA,Luneta,210056.81055825102,53381.48891354486
2024-02-01,FIAT,CABA,Parabrisas,332004.8572600058,80655.30132302378
2024-02-01,FIAT,CABA,Puerta,84913.45900574455,23481.07756245583
2024-02-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,56786.267953974886,38479.80384494274
2024-02-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,144604.19270969756,38479.80384494274
2024-02-01,FIAT,CORD_TUC_STAFE,Luneta,198053.5642406367,58319.27663804778
2024-02-01,FIAT,CORD_TUC_STAFE,Parabrisas,313033.15113086265,88115.91669540349
2024-02-01,FIAT,CORD_TUC_STAFE,Puerta,80061.26134827345,25653.077236983
2024-02-01,FIAT,Rosario,Aleta/Ventilete,53344.67595676428,38479.80384494274
2024-02-01,FIAT,Rosario,Custodia/Coleta,135840.30224244317,38479.80384494274
2024-02-01,FIAT,Rosario,Luneta,186050.31792302238,58319.27663804778
2024-02-01,FIAT,Rosario,Parabrisas,294061.4450017194,88115.91669540349
2024-02-01,FIAT,Rosario,Puerta,75209.06369080232,25653.077236983
2024-02-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,103247.75991631793,69034.70529619018
2024-02-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,262916.7140176319,69034.70529619018
2024-02-01,FIAT,TIERRA DEL FUEGO,Luneta,360097.38952843036,104627.71827054795
2024-02-01,FIAT,TIERRA DEL FUEGO,Parabrisas,569151.1838742957,158084.39059312665
2024-02-01,FIAT,TIERRA DEL FUEGO,Puerta,145565.92972413352,46022.91202241344
2024-02-01,FORD,CABA,Aleta/Ventilete,73248.23197153019,35221.78841642356
2024-02-01,FORD,CABA,Custodia/Coleta,82101.30900904362,35221.78841642356
2024-02-01,FORD,CABA,Luneta,218300.0518286146,55925.27159248933
2024-02-01,FORD,CABA,Parabrisas,381060.53551268775,80198.9050787039
2024-02-01,FORD,CABA,Puerta,103110.21595516124,23481.07756245583
2024-02-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,69062.61871601419,38479.80384494274
2024-02-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,77409.80563709827,38479.80384494274
2024-02-01,FORD,CORD_TUC_STAFE,Luneta,205825.7631526938,61098.359214794604
2024-02-01,FORD,CORD_TUC_STAFE,Parabrisas,359285.6477691056,87617.303798484
2024-02-01,FORD,CORD_TUC_STAFE,Puerta,97218.20361486632,25653.077236983
2024-02-01,FORD,Rosario,Aleta/Ventilete,64877.00546049817,38479.80384494274
2024-02-01,FORD,Rosario,Custodia/Coleta,72718.3022651529,38479.80384494274
2024-02-01,FORD,Rosario,Luneta,193351.47447677294,61098.359214794604
2024-02-01,FORD,Rosario,Parabrisas,337510.7600255235,87617.303798484
2024-02-01,FORD,Rosario,Puerta,91326.19127457138,25653.077236983
2024-02-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,125568.39766548033,69034.70529619018
2024-02-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,140745.10115836046,69034.70529619018
2024-02-01,FORD,TIERRA DEL FUEGO,Luneta,374228.6602776251,109613.53232127911
2024-02-01,FORD,TIERRA DEL FUEGO,Parabrisas,653246.6323074648,157189.85395425968
2024-02-01,FORD,TIERRA DEL FUEGO,Puerta,176760.37020884783,46022.91202241344
2024-02-01,PEUGEOT,CABA,Aleta/Ventilete,220049.6766048806,35221.78841642356
2024-02-01,PEUGEOT,CABA,Custodia/Coleta,128292.37790803702,35221.78841642356
2024-02-01,PEUGEOT,CABA,Luneta,238295.9119397467,57525.07421315882
2024-02-01,PEUGEOT,CABA,Parabrisas,406806.2415377233,79975.67148343626
2024-02-01,PEUGEOT,CABA,Puerta,86232.85229912965,23481.07756245583
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,218866.39243323347,38479.80384494274
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,120961.38488472062,38479.80384494274
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Luneta,224679.00268604688,62846.14357787603
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Parabrisas,383560.1705927105,87373.42109565412
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Puerta,81305.26073917939,25653.077236983005
2024-02-01,PEUGEOT,Rosario,Aleta/Ventilete,217683.10826158637,38479.80384494274
2024-02-01,PEUGEOT,Rosario,Custodia/Coleta,113630.39186140422,38479.80384494274
2024-02-01,PEUGEOT,Rosario,Luneta,211062.0934323471,62846.14357787603
2024-02-01,PEUGEOT,Rosario,Parabrisas,360314.09964769776,87373.42109565412
2024-02-01,PEUGEOT,Rosario,Puerta,76377.66917922912,25653.077236983005
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,234840.72875046963,69034.70529619018
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,219929.790699492,69034.70529619018
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Luneta,408507.2776109944,112749.14545779132
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Parabrisas,697382.1283503827,156752.3161075351
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Puerta,147827.746798508,46022.91202241344
2024-02-01,RENAULT,CABA,Aleta/Ventilete,79546.19207310677,35221.78841642356
2024-02-01,RENAULT,CABA,Custodia/Coleta,183705.11527899813,35221.78841642356
2024-02-01,RENAULT,CABA,Luneta,193474.35839543492,52614.847304471674
2024-02-01,RENAULT,CABA,Parabrisas,301776.0129127044,78967.86804846053
2024-02-01,RENAULT,CABA,Puerta,91043.51119101263,23481.07756245583
