coverable,fecha,provincia,prima_dev,prima_dev_ipc,sa,sa_ipc,pagos,pagos_ipc,rva,ar,cant_stros_total,cant_stros_nro_stro,coste_medio
AUT,2023-03-01,mendoza,176206416,1151265508,178083186180,1163527576578,213912282,724081335,115958079,2080,852,652,387171
AUT,2023-03-01,salta,19290107,126034207,25555268323,166968370558,13132265,48347395,0,352,101,86,130022
AUT,2023-03-01,san_juan,22503937,147032160,53253538130,347938294948,21055087,95248293,14360990,339,91,72,389187
AUT,2023-03-01,chaco,92227659,602580329,96851857181,632793073196,56517400,250082470,35856634,1104,402,286,229786
AUT,2023-03-01,chubut,192531129,1257924966,285986610565,1868527372129,160279473,732965098,33063726,2630,946,770,204379
AUT,2023-03-01,santiago_del_estero,38018689,248399616,40588395637,265189087316,40695384,172343585,131278636,550,162,129,1061568
AUT,2023-03-01,tucuman,20865204,136325264,51724489068,337948071941,14550764,70461677,91209,297,148,108,98932
AUT,2023-03-01,tierra_del_fuego,29607228,193442330,40997914510,267864727333,31485777,143290183,0,273,157,120,200546
AUT,2023-03-01,formosa,14738097,96293095,15451206849,100952288905,3188376,16729639,0,208,51,39,62517
AUT,2023-03-01,la_pampa,119250359,779136250,106463880591,695594365903,72327661,344711568,4680442,1759,411,327,187367
AUT,2023-03-01,capital_federal,241105798,1575293264,404458985509,2642580657323,231287611,937724876,69082247,1787,968,725,310299
AUT,2023-03-01,misiones,63419608,414359488,80241483210,524267228710,22426165,108219465,0,852,213,171,105287
AUT,2023-03-01,neuquen,74993023,489975794,60979823379,398418894204,62358598,295904538,0,786,357,277,174673
AUT,2023-03-01,rio_negro,89176218,582643371,72295145668,472348891699,70553185,366508471,8423171,1151,413,328,191226
AUT,2023-03-01,santa_cruz,102196018,667709702,101328931417,662044567608,73904677,371050144,316153,1468,406,334,182809
AUT,2023-04-01,buenos_aires,1541750822,9292399897,1486265744461,8957981743926,1301293261,5665943718,264097881,15015,5992,4430,261246
AUT,2023-04-01,catamarca,5454574,32875654,6967469183,41994146715,14283607,27658125,0,72,21,16,680171
AUT,2023-04-01,cordoba,720723877,4343927904,627904710822,3784490732729,767300761,2438459019,29070707,7877,2741,2012,290540
AUT,2023-04-01,entre_rios,149307351,899901271,148325098551,893981126803,126901562,484517934,14945311,2335,616,457,230270
AUT,2023-04-01,corrientes,70275299,423561435,75145979631,452917868940,38784756,167729669,813908,1152,312,235,126918
AUT,2023-04-01,san_luis,52068370,313825144,56693071256,341698985652,37657342,166578084,16225618,853,221,176,243814
AUT,2023-04-01,santa_fe,1115458648,6723063031,970692254492,5850530786389,850466920,3447490218,85476750,10061,4587,3222,204042
AUT,2023-04-01,jujuy,7199282,43391324,14585239093,87907768859,5931894,21024237,0,106,38,29,156102
AUT,2023-04-01,la_rioja,3555792,21431391,5078241497,30607443381,125160,644931,0,52,12,9,10430
AUT,2023-04-01,mendoza,179139292,1079703616,260810200445,1571948369946,252902397,876681567,57893915,2010,828,635,375357
AUT,2023-04-01,salta,19940159,120182771,25830513948,155684993220,11197856,41055262,0,333,79,61,141745
AUT,2023-04-01,san_juan,23656617,142582546,55085160736,332007829751,21198273,85110072,114398,325,86,68,247821
AUT,2023-04-01,chaco,95657353,576543469,102452939240,617501656579,71867667,315946658,38148325,1065,400,279,275039
AUT,2023-04-01,chubut,198529972,1196574626,294423825400,1774543524689,138589810,630763975,246275,2503,832,675,166870
AUT,2023-04-01,santiago_del_estero,39618110,238785171,41635442934,250944044874,24459939,125340483,2750000,526,117,99,232563
AUT,2023-04-01,tucuman,21890627,131938590,53404612943,321878876324,37545181,94862698,14566488,285,110,85,473742
AUT,2023-04-01,tierra_del_fuego,31111568,187514816,42161883868,254116995831,26089706,92082878,0,261,132,92,197649
AUT,2023-04-01,formosa,15346624,92496772,14829244785,89378433540,3006288,15079087,0,197,43,34,69913
AUT,2023-04-01,la_pampa,123674710,745408914,107930261765,650514430613,103954842,429213889,5815025,1683,437,316,251189
AUT,2023-04-01,capital_federal,250029551,1506971532,409063849754,2465498859684,222317345,874917136,35185288,1715,963,680,267396
AUT,2023-04-01,misiones,66628328,401580526,82845700632,499325424498,33479911,155709045,1230000,822,199,147,174421
AUT,2023-04-01,neuquen,78110521,470785706,62939639761,379348138847,64520186,281793103,6519049,744,391,292,181686
AUT,2023-04-01,rio_negro,92438216,557141146,76350225552,460176068284,90671335,314422864,16693374,1091,413,330,259962
AUT,2023-04-01,santa_cruz,105562873,636245664,111171973140,670052788023,92114513,428169619,54556,1401,378,309,243833
AUT,2023-05-01,buenos_aires,1682099265,9407112830,1591726231989,8901703029527,1278171660,5110798026,259408579,15391,6156,4574,249769
AUT,2023-05-01,catamarca,5903261,33013902,7231964801,40444645368,1607432,8123376,0,74,20,17,80371
