fecha,marca,zona,tipo_cristal,precio,instalacion
2024-07-01,TOYOTA,CABA,Luneta,219714.59087987646,37811.548927363205
2024-07-01,TOYOTA,CABA,Parabrisas,248416.48297362102,53018.13608770544
2024-07-01,TOYOTA,CABA,Puerta,73755.03466211252,16963.277336624
2024-07-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,39357.30525866494,25914.04847262649
2024-07-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,138013.93749053733,25914.048472626488
2024-07-01,TOYOTA,CORD_TUC_STAFE,Luneta,207159.4714010264,41309.117203144306
2024-07-01,TOYOTA,CORD_TUC_STAFE,Parabrisas,234221.25537512844,57922.313675818186
2024-07-01,TOYOTA,CORD_TUC_STAFE,Puerta,69540.46125284897,18532.38049026172
2024-07-01,TOYOTA,Rosario,Aleta/Ventilete,36972.01403086706,25914.04847262649
2024-07-01,TOYOTA,Rosario,Custodia/Coleta,129649.45643050474,25914.048472626488
2024-07-01,TOYOTA,Rosario,Luneta,194604.3519221763,41309.117203144306
2024-07-01,TOYOTA,Rosario,Parabrisas,220026.0277766358,57922.313675818186
2024-07-01,TOYOTA,Rosario,Puerta,65325.887843585384,18532.38049026172
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,71558.73683393624,46491.10755729787
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,250934.43180097695,46491.107557297866
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Luneta,376653.5843655025,74110.63589763189
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Parabrisas,425856.827954779,103915.54673190265
2024-07-01,TOYOTA,TIERRA DEL FUEGO,Puerta,126437.20227790718,33248.02357978305
2024-07-01,VOLKSWAGEN,CABA,Aleta/Ventilete,44337.46874847061,23719.95283535606
2024-07-01,VOLKSWAGEN,CABA,Custodia/Coleta,57470.69412607371,23719.95283535606
2024-07-01,VOLKSWAGEN,CABA,Luneta,150094.93177894293,37684.7559459471
2024-07-01,VOLKSWAGEN,CABA,Parabrisas,204325.36591973557,53350.09854234951
2024-07-01,VOLKSWAGEN,CABA,Puerta,60109.710431673586,16963.277336624
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,41803.89910570086,25914.048472626488
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,54186.65446172665,25914.04847262649
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Luneta,141518.07853443193,41170.5958709472
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Parabrisas,192649.6307243221,58284.98265751683
2024-07-01,VOLKSWAGEN,CORD_TUC_STAFE,Puerta,56674.869835577956,18532.38049026172
2024-07-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,39270.32946293111,25914.048472626488
2024-07-01,VOLKSWAGEN,Rosario,Custodia/Coleta,50902.61479737958,25914.04847262649
2024-07-01,VOLKSWAGEN,Rosario,Luneta,132941.2252899209,41170.5958709472
2024-07-01,VOLKSWAGEN,Rosario,Parabrisas,180973.89552890864,58284.98265751683
2024-07-01,VOLKSWAGEN,Rosario,Puerta,53240.02923948232,18532.38049026172
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,76007.08928309247,46491.10755729787
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,98521.18993041209,46491.10755729787
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Luneta,257305.5973353308,73862.1216540563
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Parabrisas,350272.0558624038,104566.19314300503
2024-07-01,VOLKSWAGEN,TIERRA DEL FUEGO,Puerta,103045.21788286901,33248.02357978305
