fecha,marca,zona,tipo_cristal,instalacion_ipc
2024-10-01,FORD,CABA,Aleta/Ventilete,31185.352176285116
2024-10-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,34069.99725259149
2024-10-01,FORD,Rosario,Aleta/Ventilete,34069.997252607805
2024-10-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,61123.29026551883
2024-10-01,PEUGEOT,CABA,Aleta/Ventilete,31185.352176285116
2024-10-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,34069.99725259149
2024-10-01,PEUGEOT,Rosario,Aleta/Ventilete,34069.997252607805
2024-10-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,61123.29026551882
2024-10-01,RENAULT,CABA,Aleta/Ventilete,31185.352176285116
2024-10-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,34069.99725259149
2024-10-01,RENAULT,Rosario,Aleta/Ventilete,34069.997252607805
2024-10-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,61123.29026551882
2024-10-01,TOYOTA,CABA,Aleta/Ventilete,31692.070469486836
2024-10-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,34623.586987914365
2024-10-01,TOYOTA,Rosario,Aleta/Ventilete,34623.58698793095
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,62116.45812019419
2024-10-01,VOLKSWAGEN,CABA,Aleta/Ventilete,31185.352176285116
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,34069.99725259149
2024-10-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,34069.997252607805
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,61123.29026551882
2025-01-01,CHEVROLET,CABA,Aleta/Ventilete,29003.63578504945
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,31686.472095166526
2025-01-01,CHEVROLET,Rosario,Aleta/Ventilete,31686.4720892876
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,56847.12613869691
2025-01-01,FIAT,CABA,Aleta/Ventilete,29003.635785049453
2025-01-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,31686.472095166522
2025-01-01,FIAT,Rosario,Aleta/Ventilete,31686.472089287596
2025-01-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,56847.12613869691
2025-01-01,FORD,CABA,Aleta/Ventilete,29003.63578504945
2025-01-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,31686.472095166526
2025-01-01,FORD,Rosario,Aleta/Ventilete,31686.472089287596
2025-01-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,56847.12613869691
2025-01-01,PEUGEOT,CABA,Aleta/Ventilete,29003.635785049453
2025-01-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,31686.472095166522
2025-01-01,PEUGEOT,Rosario,Aleta/Ventilete,31686.472089287596
2025-01-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,56847.12613869691
2025-01-01,RENAULT,CABA,Aleta/Ventilete,29003.63578504945
2025-01-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,31686.472095166526
2025-01-01,RENAULT,Rosario,Aleta/Ventilete,31686.4720892876
2025-01-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,56847.12613869691
2025-01-01,TOYOTA,CABA,Aleta/Ventilete,29474.904242707613
2025-01-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,32201.33288515807
2025-01-01,TOYOTA,Rosario,Aleta/Ventilete,32201.332879183614
2025-01-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,57770.81231570691
2025-01-01,VOLKSWAGEN,CABA,Aleta/Ventilete,29003.635785049453
2025-01-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,31686.472095166522
2025-01-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,31686.472089287596
2025-01-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,56847.12613869691
2025-04-01,CHEVROLET,CABA,Aleta/Ventilete,28957.31842140268
2025-04-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,31635.87037538243
2025-04-01,CHEVROLET,Rosario,Aleta/Ventilete,31635.87037538243
2025-04-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,56756.34410594925
2025-04-01,FIAT,CABA,Aleta/Ventilete,28957.31842140268
2025-04-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,31635.87037538243
2025-04-01,FIAT,Rosario,Aleta/Ventilete,31635.87037538243
2025-04-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,56756.34410594925
2025-04-01,FORD,CABA,Aleta/Ventilete,28957.31842140268
2025-04-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,31635.87037538243
2025-04-01,FORD,Rosario,Aleta/Ventilete,31635.87037538243
2025-04-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,56756.34410594925
2025-04-01,PEUGEOT,CABA,Aleta/Ventilete,28957.31842140268
2025-04-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,31635.87037538243
2025-04-01,PEUGEOT,Rosario,Aleta/Ventilete,31635.87037538243
2025-04-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,56756.34410594925
2025-04-01,RENAULT,CABA,Aleta/Ventilete,28957.31842140268
2025-04-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,31635.870375382434
2025-04-01,RENAULT,Rosario,Aleta/Ventilete,31635.870375382434
2025-04-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,56756.34410594925
2025-04-01,TOYOTA,CABA,Aleta/Ventilete,28957.31842140268
2025-04-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,31635.87037538243
2025-04-01,TOYOTA,Rosario,Aleta/Ventilete,31635.87037538243
2025-04-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,56756.34410594924
2025-04-01,VOLKSWAGEN,CABA,Aleta/Ventilete,28957.31842140268
2025-04-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,31635.870375382427
2025-04-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,31635.870375382427
2025-04-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,56756.34410594925
2023-12-01,CHEVROLET,CABA,Custodia/Coleta,41218.11674438507
2023-12-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,45030.79254324067
2023-12-01,CHEVROLET,Rosario,Custodia/Coleta,45030.792541315175
2023-12-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,80787.50881899473
2023-12-01,FIAT,CABA,Custodia/Coleta,41218.11674438507
2023-12-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,45030.79254324067
2023-12-01,FIAT,Rosario,Custodia/Coleta,45030.792541315175
2023-12-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,80787.50881899473
2023-12-01,FORD,CABA,Custodia/Coleta,41218.11674438507
2023-12-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,45030.79254324067
2023-12-01,FORD,Rosario,Custodia/Coleta,45030.792541315175
2023-12-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,80787.50881899473
2023-12-01,PEUGEOT,CABA,Custodia/Coleta,41218.11674438507
2023-12-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,45030.79254324067
2023-12-01,PEUGEOT,Rosario,Custodia/Coleta,45030.792541315175
2023-12-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,80787.50881899473
2023-12-01,RENAULT,CABA,Custodia/Coleta,41218.11674438507
2023-12-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,45030.79254324067
2023-12-01,RENAULT,Rosario,Custodia/Coleta,45030.79254131518
2023-12-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,80787.50881899473
2023-12-01,TOYOTA,CABA,Custodia/Coleta,41218.11674438507
2023-12-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,45030.79254324067
2023-12-01,TOYOTA,Rosario,Custodia/Coleta,45030.792541315175
2023-12-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,80787.50881899473
2023-12-01,VOLKSWAGEN,CABA,Custodia/Coleta,41218.11674438507
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,45030.79254324067
2023-12-01,VOLKSWAGEN,Rosario,Custodia/Coleta,45030.792541315175
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,80787.50881899473
2024-02-01,CHEVROLET,CABA,Custodia/Coleta,32893.77047604387
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,35936.444245077924
2024-02-01,CHEVROLET,Rosario,Custodia/Coleta,35936.44424913815
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,64471.79013304601
2024-02-01,FIAT,CABA,Custodia/Coleta,32893.77047604387
2024-02-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,35936.444245077924
2024-02-01,FIAT,Rosario,Custodia/Coleta,35936.44424913815
2024-02-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,64471.79013304601
2024-02-01,FORD,CABA,Custodia/Coleta,32893.77047604387
2024-02-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,35936.444245077924
2024-02-01,FORD,Rosario,Custodia/Coleta,35936.44424913815
2024-02-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,64471.79013304601
2024-02-01,PEUGEOT,CABA,Custodia/Coleta,32893.77047604387
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,35936.444245077924
2024-02-01,PEUGEOT,Rosario,Custodia/Coleta,35936.44424913815
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,64471.79013304601
2024-02-01,RENAULT,CABA,Custodia/Coleta,32893.77047604387
2024-02-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,35936.444245077924
2024-02-01,RENAULT,Rosario,Custodia/Coleta,35936.44424913815
2024-02-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,64471.790133046
2024-02-01,TOYOTA,CABA,Custodia/Coleta,32893.77047604387
2024-02-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,35936.444245077924
2024-02-01,TOYOTA,Rosario,Custodia/Coleta,35936.44424913815
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,64471.79013304601
2024-02-01,VOLKSWAGEN,CABA,Custodia/Coleta,32893.77047604387
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,35936.444245077924
2024-02-01,VOLKSWAGEN,Rosario,Custodia/Coleta,35936.44424913815
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,64471.790133046015
2024-03-01,CHEVROLET,CABA,Custodia/Coleta,32594.581810194562
