año,coverable,provincia,tipo_repuesto,cant_ord_compra,costo_pieza_prom,monto_total_compras
2025,AUT,santa_cruz,paragolpe_tras,83,549707.0,45625729.0
2025,AUT,santa_fe,paragolpe_tras,1174,533515.0,626346848.0
2025,AUT,santiago_del_estero,paragolpe_tras,6,528446.0,3170681.0
2025,AUT,tierra_del_fuego,paragolpe_tras,54,613651.0,33137197.0
2025,AUT,tucuman,paragolpe_tras,12,409364.0,4912377.0
2026,AUT,buenos_aires,capot,340,790221.0,268675373.0
2026,AUT,capital_federal,capot,80,988917.0,79113412.0
2026,AUT,catamarca,capot,1,303608.0,303608.0
2026,AUT,chaco,capot,14,757367.0,10603138.0
2026,AUT,chubut,capot,29,684302.0,19844776.0
2026,AUT,cordoba,capot,202,776033.0,156758769.0
2026,AUT,corrientes,capot,7,960031.0,6720222.0
2026,AUT,entre_rios,capot,15,737831.0,11067473.0
2026,AUT,formosa,capot,0,0.0,0.0
2026,AUT,jujuy,capot,1,1043988.0,1043988.0
2026,AUT,la_pampa,capot,11,888849.0,9777340.0
2026,AUT,la_rioja,capot,0,0.0,0.0
2026,AUT,mendoza,capot,27,830162.0,22414397.0
2026,AUT,misiones,capot,11,859704.0,9456752.0
2026,AUT,neuquen,capot,59,739413.0,43625405.0
2026,AUT,rio_negro,capot,9,816308.0,7346780.0
2026,AUT,salta,capot,6,1171984.0,7031909.0
2026,AUT,san_juan,capot,3,836128.0,2508384.0
2026,AUT,san_luis,capot,4,464752.0,1859008.0
2026,AUT,santa_cruz,capot,11,635603.0,6991643.0
2026,AUT,santa_fe,capot,261,749526.0,195626426.0
2026,AUT,santiago_del_estero,capot,1,745436.0,745436.0
2026,AUT,tierra_del_fuego,capot,11,851516.0,9366677.0
2026,AUT,tucuman,capot,2,1037125.0,2074250.0
2026,AUT,buenos_aires,optica,1174,761792.0,894343846.0
2026,AUT,capital_federal,optica,259,1162640.0,301123946.0
2026,AUT,catamarca,optica,1,91134.0,91134.0
2026,AUT,chaco,optica,55,1267675.0,69722149.0
2026,AUT,chubut,optica,111,731792.0,81228965.0
2026,AUT,cordoba,optica,401,756096.0,303194701.0
2026,AUT,corrientes,optica,21,848188.0,17811957.0
2026,AUT,entre_rios,optica,89,780059.0,69425305.0
2026,AUT,formosa,optica,3,1268449.0,3805349.0
2026,AUT,jujuy,optica,4,907832.0,3631329.0
2026,AUT,la_pampa,optica,38,785254.0,29839653.0
2026,AUT,la_rioja,optica,1,1212160.0,1212160.0
2026,AUT,mendoza,optica,70,579637.0,40574650.0
2026,AUT,misiones,optica,36,1177006.0,42372219.0
2026,AUT,neuquen,optica,165,668575.0,110315004.0
2026,AUT,rio_negro,optica,34,713163.0,24247552.0
2026,AUT,salta,optica,12,1062458.0,12749501.0
2026,AUT,san_juan,optica,16,562408.0,8998530.0
2026,AUT,san_luis,optica,19,753426.0,14315097.0
2026,AUT,santa_cruz,optica,44,726788.0,31978687.0
2026,AUT,santa_fe,optica,807,918994.0,741628637.0
2026,AUT,santiago_del_estero,optica,3,478579.0,1435737.0
2026,AUT,tierra_del_fuego,optica,38,847492.0,32204703.0
2026,AUT,tucuman,optica,3,1190329.0,3570989.0
2026,AUT,buenos_aires,paragolpe_del,1120,564743.0,632512724.0
2026,AUT,capital_federal,paragolpe_del,230,685104.0,157573996.0
2026,AUT,catamarca,paragolpe_del,0,0.0,0.0
2026,AUT,chaco,paragolpe_del,53,493533.0,26157272.0
2026,AUT,chubut,paragolpe_del,107,490337.0,52466075.0
2026,AUT,cordoba,paragolpe_del,369,529739.0,195474049.0
2026,AUT,corrientes,paragolpe_del,29,453793.0,13160010.0
2026,AUT,entre_rios,paragolpe_del,108,510350.0,55117860.0
2026,AUT,formosa,paragolpe_del,4,706981.0,2827925.0
2026,AUT,jujuy,paragolpe_del,3,785128.0,2355384.0
2026,AUT,la_pampa,paragolpe_del,59,587087.0,34638152.0
2026,AUT,la_rioja,paragolpe_del,1,1057426.0,1057426.0
2026,AUT,mendoza,paragolpe_del,88,530291.0,46665695.0
2026,AUT,misiones,paragolpe_del,33,487687.0,16093673.0
2026,AUT,neuquen,paragolpe_del,152,518807.0,78858805.0
2026,AUT,rio_negro,paragolpe_del,42,389711.0,16367899.0
2026,AUT,salta,paragolpe_del,9,672916.0,6056247.0
2026,AUT,san_juan,paragolpe_del,16,622746.0,9963948.0
2026,AUT,san_luis,paragolpe_del,18,659479.0,11870627.0
2026,AUT,santa_cruz,paragolpe_del,48,372386.0,17874546.0
2026,AUT,santa_fe,paragolpe_del,679,558782.0,379413239.0
2026,AUT,santiago_del_estero,paragolpe_del,5,456739.0,2283698.0
2026,AUT,tierra_del_fuego,paragolpe_del,29,586291.0,17002462.0
2026,AUT,tucuman,paragolpe_del,6,523993.0,3143960.0
2026,AUT,buenos_aires,paragolpe_tras,575,613651.0,352849443.0
2026,AUT,capital_federal,paragolpe_tras,171,746000.0,127566142.0
2026,AUT,catamarca,paragolpe_tras,1,0.0,0.0
2026,AUT,chaco,paragolpe_tras,31,563758.0,17476510.0
2026,AUT,chubut,paragolpe_tras,68,524464.0,35663606.0
2026,AUT,cordoba,paragolpe_tras,214,571918.0,122390558.0
2026,AUT,corrientes,paragolpe_tras,15,506090.0,7591350.0
2026,AUT,entre_rios,paragolpe_tras,43,488940.0,21024445.0
2026,AUT,formosa,paragolpe_tras,0,0.0,0.0
2026,AUT,jujuy,paragolpe_tras,0,0.0,0.0
2026,AUT,la_pampa,paragolpe_tras,13,681752.0,8862783.0
2026,AUT,la_rioja,paragolpe_tras,1,1259079.0,1259079.0
2026,AUT,mendoza,paragolpe_tras,59,478588.0,28236743.0
2026,AUT,misiones,paragolpe_tras,14,528706.0,7401896.0
2026,AUT,neuquen,paragolpe_tras,67,500265.0,33517804.0
2026,AUT,rio_negro,paragolpe_tras,27,494692.0,13356706.0
2026,AUT,salta,paragolpe_tras,5,633092.0,3165463.0
2026,AUT,san_juan,paragolpe_tras,3,548300.0,1644902.0
2026,AUT,san_luis,paragolpe_tras,14,455894.0,6382528.0
2026,AUT,santa_cruz,paragolpe_tras,28,394010.0,11032293.0
2026,AUT,santa_fe,paragolpe_tras,452,716361.0,323795459.0
2026,AUT,santiago_del_estero,paragolpe_tras,1,471540.0,471540.0
2026,AUT,tierra_del_fuego,paragolpe_tras,25,757213.0,18930334.0
2026,AUT,tucuman,paragolpe_tras,6,462727.0,2776365.0
2024,AUT,buenos_aires,general,14588,235767.72,15885793379.949995
2024,AUT,capital_federal,general,2706,275151.38,3540923064.589999
2024,AUT,catamarca,general,19,424411.47,45836438.339999996
2024,AUT,chaco,general,783,251331.71,1089522963.45
2024,AUT,chubut,general,2004,203024.4,2183730466.35
2024,AUT,cordoba,general,5256,217450.07,5231848726.23
2024,AUT,corrientes,general,566,239773.27,519588679.06000006
2024,AUT,entre_rios,general,1066,211844.59,976603566.1400001
2024,AUT,formosa,general,73,211963.32,106193624.46
2024,AUT,jujuy,general,36,183837.15,37686615.93
2024,AUT,la_pampa,general,347,269967.39,425738576.9
2024,AUT,la_rioja,general,16,321887.58,46351812.22
2024,AUT,mendoza,general,904,221662.54,1159960097.85
2024,AUT,misiones,general,525,287883.34,703586884.3700001
2024,AUT,neuquen,general,1436,213574.08,1537306207.6499999
2024,AUT,rio_negro,general,497,200481.36,436046951.35999995
2024,AUT,salta,general,159,184139.01,159648518.51
2024,AUT,san_juan,general,153,233645.95,191356031.62000003
2024,AUT,san_luis,general,137,253580.04,168377146.43000004
2024,AUT,santa_cruz,general,548,240332.76,661636096.8299999
2024,AUT,santa_fe,general,11264,218344.9,10512651968.179993
2024,AUT,santiago_del_estero,general,44,250148.11,46277399.86
2024,AUT,tierra_del_fuego,general,322,338510.19,537892689.69
2024,AUT,tucuman,general,81,211756.21,116677671.39000002
2025,AUT,buenos_aires,general,13705,272463.52,17574986961.670002
2025,AUT,capital_federal,general,3073,351897.97,5247502584.409999
2025,AUT,catamarca,general,14,240336.28,16823539.32
2025,AUT,chaco,general,715,267169.48,913452460.24
2025,AUT,chubut,general,1465,234951.46,1879376732.7400012
2025,AUT,cordoba,general,5124,258513.49,6276965952.780001
2025,AUT,corrientes,general,555,281692.75,644231320.3
2025,AUT,entre_rios,general,988,251594.13,1235830361.3800006
2025,AUT,formosa,general,65,294587.5,127556389.32999998
2025,AUT,jujuy,general,30,308183.58,47460271.349999994
2025,AUT,la_pampa,general,366,291589.85,534192613.48999995
2025,AUT,la_rioja,general,35,392776.01,73841890.09
2025,AUT,mendoza,general,783,231842.15,1161760999.1100001
2025,AUT,misiones,general,476,286522.9,630350371.3399999
2025,AUT,neuquen,general,1293,238286.12,1702316006.4399998
2025,AUT,rio_negro,general,608,234390.44,700358646.0700002
2025,AUT,salta,general,105,250489.77,157558068.05
2025,AUT,san_juan,general,226,276315.62,230999860.77999997
2025,AUT,san_luis,general,153,240163.93,216868030.71
2025,AUT,santa_cruz,general,571,276663.22,892238870.8399999
2025,AUT,santa_fe,general,12161,281521.03,13938387944.159996
2025,AUT,santiago_del_estero,general,58,331810.71,122106340.58
2025,AUT,tierra_del_fuego,general,392,335814.83,683718996.4399998
2025,AUT,tucuman,general,87,279408.97,153395525.60000002
2026,AUT,buenos_aires,general,4710,304164.22,6788641244.129995
2026,AUT,capital_federal,general,1172,412100.05,2286331090.559999
2026,AUT,catamarca,general,3,234892.0,1409352.0
2026,AUT,chaco,general,276,308522.89,359737687.80999994
2026,AUT,chubut,general,441,255148.2,606742416.59
2026,AUT,cordoba,general,2054,290489.37,2540620054.369999
2026,AUT,corrientes,general,163,272156.61,152407702.33
2026,AUT,entre_rios,general,346,289037.4,524891912.3
2026,AUT,formosa,general,24,485643.51,39337124.33
2026,AUT,jujuy,general,6,271503.35,19005234.259999998
2026,AUT,la_pampa,general,141,329975.95,227023451.09999996
2026,AUT,la_rioja,general,7,427584.8,12827543.920000002
2026,AUT,mendoza,general,289,270530.49,418240143.29
2026,AUT,misiones,general,131,287254.65,180683171.72
2026,AUT,neuquen,general,579,264848.54,854401399.04
2026,AUT,rio_negro,general,159,277703.21,191892919.75999996
2026,AUT,salta,general,45,328158.72,107636059.60999998
2026,AUT,san_juan,general,61,283811.08,84291890.53
2026,AUT,san_luis,general,67,244408.51,91897599.9
2026,AUT,santa_cruz,general,196,293959.09,263975263.56000003
2026,AUT,santa_fe,general,3757,319765.45,5087468277.09
2026,AUT,santiago_del_estero,general,11,288952.33,17337139.78
2026,AUT,tierra_del_fuego,general,135,380032.16,279323640.99000007
2026,AUT,tucuman,general,27,335150.1,52618564.94
