fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,var_precio_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom,var_instal_prom_%
2023-12-01,BMW,CABA,Aleta/Ventilete,87128,226704,90,16962,44135,17,2.6,,,-,-,,-
2024-02-01,BMW,CABA,Aleta/Ventilete,91484,174280,84,18488,35221,17,1.91,0.04999540905334676,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,BMW,CABA,Aleta/Ventilete,96058,164845,95,20337,34901,20,1.72,0.049997813825368276,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,BMW,CABA,Aleta/Ventilete,100861,152665,90,22168,33554,19,1.51,0.050001041037706306,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
2024-07-01,BMW,CABA,Aleta/Ventilete,103887,144536,73,23719,33001,16,1.39,0.030001685487948793,-0.07947019867549676,-7.95%,3.0%,0.06996571634788884,7.0%
2024-10-01,BMW,CABA,Aleta/Ventilete,103887,130580,86,26566,33392,22,1.26,0.0,-0.09352517985611508,-9.35%,0.0%,0.1200303554112736,12.0%
2025-01-01,BMW,CABA,Aleta/Ventilete,103887,121445,85,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,BMW,CABA,Aleta/Ventilete,107004,114577,84,28957,31006,22,1.07,0.03000375407895106,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
2025-08-01,BMW,CABA,Aleta/Ventilete,107004,107004,80,28957,28957,21,1.0,0.0,-0.06542056074766356,-6.54%,0.0%,0.0,0.0%
2023-12-01,CHEVROLET,CABA,Aleta/Ventilete,36674,95426,37,16962,44135,17,2.6,,,-,-,,-
2024-02-01,CHEVROLET,CABA,Aleta/Ventilete,38508,73359,35,18488,35221,17,1.91,0.05000818018214548,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,CHEVROLET,CABA,Aleta/Ventilete,40434,69388,40,20337,34901,20,1.72,0.05001558117793703,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,CHEVROLET,CABA,Aleta/Ventilete,42931,64982,38,22168,33554,19,1.51,0.06175495869812542,-0.12209302325581395,-12.21%,6.18%,0.09003294487879243,9.0%
2024-07-01,CHEVROLET,CABA,Aleta/Ventilete,45076,62714,31,23719,33001,16,1.39,0.049963895553329696,-0.07947019867549676,-7.95%,5.0%,0.06996571634788884,7.0%
2024-10-01,CHEVROLET,CABA,Aleta/Ventilete,45817,57589,38,26566,33392,22,1.26,0.016438903185730824,-0.09352517985611508,-9.35%,1.64%,0.1200303554112736,12.0%
2025-01-01,CHEVROLET,CABA,Aleta/Ventilete,45817,53560,37,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,CHEVROLET,CABA,Aleta/Ventilete,45570,48795,36,28957,31006,22,1.07,-0.005391012069755785,-0.08547008547008539,-8.55%,-0.54%,0.09000225852593546,9.0%
2025-08-01,CHEVROLET,CABA,Aleta/Ventilete,44119,44119,33,28957,28957,21,1.0,-0.03184112354619262,-0.06542056074766356,-6.54%,-3.18%,0.0,0.0%
2023-12-01,CITROEN,CABA,Aleta/Ventilete,69593,181079,72,16962,44135,17,2.6,,,-,-,,-
2024-02-01,CITROEN,CABA,Aleta/Ventilete,73072,139205,67,18488,35221,17,1.91,0.04999065998017049,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
