fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,ipc_empalme_ipim,var_precio_prom,var_instal_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom_%,tipo_cristal
2023-12-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,63342,176433,65,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,66509,135633,61,18488,37704,17,2.039326613,4825,0.0499984212686686,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,69834,128291,69,20337,37361,20,1.837070643,5357,0.04999323399840616,0.1000108178277801,0.11009700156540236,11.01%,5.0%,10.0%,Cristales laterales y de techo
2024-05-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,73326,118812,65,22168,35919,19,1.620318976,6073,0.05000429590170974,0.09003294487879243,0.13377098612570282,13.38%,5.0%,9.0%,Cristales laterales y de techo
2024-07-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,75526,112486,53,23719,35327,16,1.48936646,6607,0.030003000300030003,0.06996571634788884,0.08792497970558877,8.79%,3.0%,7.0%,Cristales laterales y de techo
2024-10-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,75526,101624,62,26566,35746,22,1.345559164,7313,0.0,0.1200303554112736,0.10687549081586467,10.69%,0.0%,12.0%,Cristales laterales y de techo
2025-01-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,75526,94515,62,26566,33245,21,1.251424313,7864,0.0,0.0,0.07522216915167435,7.52%,0.0%,0.0%,Cristales laterales y de techo
2025-04-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,77791,89170,61,28957,33192,22,1.146262248,8585,0.029989672430686065,0.09000225852593546,0.09174345979744447,9.17%,3.0%,9.0%,Cristales laterales y de techo
2025-08-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,77791,83276,60,28957,30998,22,1.070498944,9193,0.0,0.0,0.07077382453924819,7.08%,0.0%,0.0%,Cristales laterales y de techo
2025-11-01,HYUNDAI,CAPITAL FEDERAL,Aleta/Ventilete,82459,82459,56,31853,31853,21,1.0,9841,0.06000694167705767,0.10001036018924614,0.07049894389293976,7.05%,6.0%,10.0%,Cristales laterales y de techo
2023-12-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,45482,126688,47,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,47757,97392,44,18488,37704,17,2.039326613,4825,0.0500197880480191,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,50144,92119,50,20337,37361,20,1.837070643,5357,0.04998220156207478,0.1000108178277801,0.11009700156540236,11.01%,5.0%,10.0%,Cristales laterales y de techo
2024-05-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,52652,85313,47,22168,35919,19,1.620318976,6073,0.05001595405232928,0.09003294487879243,0.13377098612570282,13.38%,5.0%,9.0%,Cristales laterales y de techo
