coverable,provincia,pagos_2022,pagos_2023,pagos_2024,pagos_2025,cant_stros_2022,cant_stros_2023,cant_stros_2024,cant_stros_2025,coste_medio_2022,coste_medio_2023,coste_medio_2024,coste_medio_2025,var_cm_2022_2023,var_cm_2023_2024,var_cm_2024_2025
TRP,santa_cruz,604.827,5.429.560,4.160.263,4.299.866,101,101,73,27,68.352,768.254,727.206,1.983.768,"1123,97%","-5,34%","172,79%"
TRP,santa_fe,9.661.935,33.178.348,17.723.391,7.443.365,441,567,417,223,302.555,768.147,647.071,652.114,"253,89%","-15,76%","0,78%"
TRP,santiago_del_estero,7.887,6.823,0,345.074,5,3,0,3,5.262,6.823,0,190.823,"129,66%",,
TRP,tierra_del_fuego,118.616,375.638,1.480.291,1.000.550,27,16,24,20,25.268,311.357,553.429,499.409,"1232,20%","77,75%","-9,76%"
TRP,tucuman,877.168,526.096,702.066,5.429,63,25,9,1,239.716,224.605,495.754,420.519,"93,70%","120,72%","-15,18%"
( Blank ),buenos_aires,16.301.423,41.296.809,125.346.393,8.171.136,744,723,644,145,374.665,828.645,2.604.046,2.931.559,"221,17%","214,25%","12,58%"
( Blank ),capital_federal,120.263,1.762.254,3.769.897,7.134.965,44,21,90,190,164.401,375.947,513.405,571.488,"228,68%","36,56%","11,31%"
( Blank ),catamarca,7.917,0,0,0,1,0,0,0,7.917,0,0,0,,,
( Blank ),chaco,1.842.714,211.161,1.449.180,66.422,53,34,48,2,248.411,71.563,481.853,87.279,"28,81%","573,33%","-81,89%"
( Blank ),chubut,2.084.430,1.387.647,1.200.053,0,36,45,27,0,352.668,225.985,370.354,0,"64,08%","63,88%","-100,00%"
( Blank ),cordoba,2.805.938,19.895.743,20.779.729,2.242.996,164,179,163,20,231.136,1.552.492,1.615.830,825.016,"671,68%","4,08%","-48,94%"
( Blank ),corrientes,151.658,2.079.259,6.326.805,0,25,18,18,2,463.157,1.692.877,1.840.624,20.857,"365,51%","8,73%","-98,87%"
( Blank ),entre_rios,673.287,183.323,1.298.208,2.526.708,37,37,33,4,188.354,155.215,518.430,1.522.629,"82,41%","234,01%","193,70%"
( Blank ),formosa,23.000,155.460,131.466,0,3,5,3,0,11.500,125.084,197.709,0,"1087,68%","58,06%",
( Blank ),jujuy,5.183,53.750,0,0,2,1,0,0,5.183,53.750,0,0,"1037,03%",,
( Blank ),la_pampa,5.625,209.705,208.805,0,4,7,3,0,4.984,158.752,73.657,0,"3185,01%","-53,60%",
( Blank ),la_rioja,0,0,26.125,0,0,1,1,0,0,83,26.125,0,,"31250,00%",
( Blank ),mendoza,2.503.692,10.415.009,21.388.309,1.741.012,117,152,99,29,217.486,653.267,2.581.151,1.920.302,"300,37%","295,11%","-25,60%"
( Blank ),misiones,352.621,4.867.625,2.671.731,150.986,55,69,36,8,349.806,747.562,1.080.956,123.247,"213,71%","44,60%","-88,60%"
( Blank ),neuquen,352.925,441.071,9.730.518,2.600.333,32,40,60,38,170.003,140.222,2.745.842,508.992,"82,48%","1858,21%","-81,46%"
( Blank ),rio_negro,119.560,3.791.960,1.762.822,0,19,29,43,2,70.924,1.750.901,1.212.875,20.857,"2468,70%","-30,73%","-98,28%"
( Blank ),salta,17.283,128.832,513.388,0,12,10,5,0,17.230,93.238,460.833,0,"541,14%","394,25%",
( Blank ),san_juan,0,0,0,118.064,0,0,0,3,0,0,0,39.355,,,
( Blank ),san_luis,37.430,14.729,116.667,131.725,9,2,4,2,18.715,14.729,119.417,131.725,"78,70%","710,78%","10,31%"
( Blank ),santa_cruz,315.865,1.342.432,1.252.008,0,31,27,46,1,122.819,588.976,340.917,20.857,"479,55%","-42,12%","-93,88%"
( Blank ),santa_fe,36.214.542,42.475.655,112.267.525,47.947.432,907,948,767,216,488.180,669.406,1.925.061,2.299.326,"137,12%","187,58%","19,44%"
( Blank ),santiago_del_estero,12.271,17.115,245.416,1.447.857,9,11,5,8,12.271,13.252,242.041,907.563,"108,00%","1726,42%","274,96%"
( Blank ),tierra_del_fuego,16.110,5.833,8.144.709,6.039.949,11,4,8,9,6.868,22.958,2.290.140,1.270.529,"334,30%","9875,20%","-44,52%"
( Blank ),tucuman,429.339,318.636,215.790,265.779,22,14,10,8,594.347,96.197,357.040,157.746,"16,19%","271,16%","-55,82%"
