nro_siniestro_gw,nro_situacion,id._publico_exposicion,codigo_plan_cobertura,plan_cobertura,nombre_exposicion,cobertura_principal,codigo_tipo_transaccion,usuario_creador,monto_transaccion,fecha_pago,tipo_vehiculo,grupo_tipo_vehiculo_alternativo,marca_vehiculo,modelo_vehiculo,año_mes_fecha_pago,usd_blue,ipc_factor,pago_ipc,pago_usd
4-3430563,1,cc:849070,36,"36 - R.C., INC. Y ROBO TOTAL Y PARCIAL",(2) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,DSECRETI,16549000.01,2026-03-05,AUT/FAM/M.VAN,AUTOS PARTICULARES,TOYOTA,COROLLA,2026-03-01,1411.1904761904761,1.0,16549000.01,11726.978242281088
4-3430563,1,cc:849070,36,"36 - R.C., INC. Y ROBO TOTAL Y PARCIAL",(2) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,AFUNES,16549000.01,2026-03-05,AUT/FAM/M.VAN,AUTOS PARTICULARES,TOYOTA,COROLLA,2026-03-01,1411.1904761904761,1.0,16549000.01,11726.978242281088
4-3430564,1,cc:840284,0,PLAN SELECTO L2 (EX L200),(2) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,DSECRETI,25635000.0,2026-02-23,P GII +1000Kg,PICK UPS,PEUGEOT,EXPERT,2026-02-01,1441.6,1.033826222,26502135.20097,17782.325194228637
4-3430618,1,cc:840180,0,PLAN SELECTO L2 (EX L200),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,ESEGOVIA,7424900.0,2026-03-09,AUT/FAM/M.VAN,AUTOS PARTICULARES,RENAULT,CLIO,2026-03-01,1411.1904761904761,1.0,7424900.0,5261.44423823182
4-3430618,1,cc:840180,0,PLAN SELECTO L2 (EX L200),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MDSALVAT,7424900.0,2026-03-09,AUT/FAM/M.VAN,AUTOS PARTICULARES,RENAULT,CLIO,2026-03-01,1411.1904761904761,1.0,7424900.0,5261.44423823182
4-3430699,1,cc:840439,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,ESEGOVIA,38188240.0,2026-02-26,P GII +1000Kg,PICK UPS,TOYOTA,HILUX,2026-02-01,1441.6,1.033826222,39480003.884029284,26490.177580466152
4-3430731,1,cc:840375,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,HZALAZAR,8449000.0,2026-02-28,AUT/FAM/M.VAN,AUTOS PARTICULARES,CHEVROLET,VECTRA,2026-02-01,1441.6,1.033826222,8734797.749678,5860.8490566037735
4-3430731,1,cc:840375,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,NRETAMAL,8449000.0,2026-02-28,AUT/FAM/M.VAN,AUTOS PARTICULARES,CHEVROLET,VECTRA,2026-02-01,1441.6,1.033826222,8734797.749678,5860.8490566037735
4-3430758,1,cc:840386,30,PLAN PRIVILEGIO L2 (EX 30),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,EAGOSTIN,35959000.0,2026-03-19,JEEP/CAM.FAM,JEEPS,CHRYSLER,JEEP COMPASS,2026-03-01,1411.1904761904761,1.0,35959000.0,25481.322760249706
4-3430758,1,cc:840386,30,PLAN PRIVILEGIO L2 (EX 30),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,JGRIMBER,35959000.0,2026-03-19,JEEP/CAM.FAM,JEEPS,CHRYSLER,JEEP COMPASS,2026-03-01,1411.1904761904761,1.0,35959000.0,25481.322760249706
4-3430825,1,cc:840721,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,FBILOZ,18089000.0,2026-02-24,AUT/FAM/M.VAN,AUTOS PARTICULARES,PEUGEOT,208,2026-02-01,1441.6,1.033826222,18700882.529758003,12547.863485016649
4-3430825,1,cc:840721,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,DSECRETI,18089000.0,2026-02-24,AUT/FAM/M.VAN,AUTOS PARTICULARES,PEUGEOT,208,2026-02-01,1441.6,1.033826222,18700882.529758003,12547.863485016649
4-3430885,199,cc:840760,0,PLAN SELECTO L2 (EX L200),(3) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,FLIBERAT,39725000.0,2026-02-26,P GII +1000Kg,PICK UPS,TOYOTA,HILUX,2026-02-01,1441.6,1.033826222,41068746.66895001,27556.187569367372
