fecha,marca,zona,tipo_cristal,precio_usd,instalacion_usd
2024-03-01,CHEVROLET,Rosario,Puerta,50.2,15.9
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,69.2,39.8
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,179.9,39.8
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,201.6,65.3
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,301.9,90.6
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,97.3,28.5
2024-03-01,FIAT,CABA,Aleta/Ventilete,33.1,20.3
2024-03-01,FIAT,CABA,Custodia/Coleta,84.4,20.3
2024-03-01,FIAT,CABA,Luneta,117.4,30.8
2024-03-01,FIAT,CABA,Parabrisas,180.9,46.5
2024-03-01,FIAT,CABA,Puerta,46.7,14.5
2024-03-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,31.2,22.2
2024-03-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,79.6,22.2
2024-03-01,FIAT,CORD_TUC_STAFE,Luneta,110.7,33.6
2024-03-01,FIAT,CORD_TUC_STAFE,Parabrisas,170.6,50.8
2024-03-01,FIAT,CORD_TUC_STAFE,Puerta,44.1,15.9
2024-03-01,FIAT,Rosario,Aleta/Ventilete,29.4,22.2
2024-03-01,FIAT,Rosario,Custodia/Coleta,74.8,22.2
2024-03-01,FIAT,Rosario,Luneta,104.0,33.6
2024-03-01,FIAT,Rosario,Parabrisas,160.2,50.8
2024-03-01,FIAT,Rosario,Puerta,41.4,15.9
2024-03-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,56.8,39.8
2024-03-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,144.7,39.8
2024-03-01,FIAT,TIERRA DEL FUEGO,Luneta,201.3,60.3
2024-03-01,FIAT,TIERRA DEL FUEGO,Parabrisas,310.1,91.1
2024-03-01,FIAT,TIERRA DEL FUEGO,Puerta,80.1,28.5
2024-03-01,FORD,CABA,Aleta/Ventilete,42.9,20.3
2024-03-01,FORD,CABA,Custodia/Coleta,44.5,20.3
2024-03-01,FORD,CABA,Luneta,124.0,32.3
2024-03-01,FORD,CABA,Parabrisas,210.9,46.2
2024-03-01,FORD,CABA,Puerta,56.2,14.5
2024-03-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,40.5,22.2
