año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tipo_repuesto
2025,2025-09-01,838,838,1.0,761692,"11,65%",638298239,1.0,638298239,761692,"9,37%",1406,453706,541,"5,47%",Optica
2023,2023-01-01,832,832,1.0,86662,-,72102805,7.501355385,540868765,650082,-,366,196904,236,-,Paragolpe Del
2023,2023-02-01,642,642,1.0,95006,"9,63%",60993925,7.03508925,429097711,668376,"2,81%",375,162243,252,"6,78%",Paragolpe Del
2023,2023-03-01,956,956,1.0,96910,"2,00%",92646401,6.533618369,605316231,633175,"-5,27%",380,243680,254,"0,86%",Paragolpe Del
2023,2023-04-01,816,816,1.0,99903,"3,09%",81521551,6.027173658,491344549,602137,"-4,90%",419,194194,237,"-6,64%",Paragolpe Del
2023,2023-05-01,858,858,1.0,113900,"14,01%",97726458,5.592483714,546533629,636985,"5,79%",477,204565,238,"0,18%",Paragolpe Del
2023,2023-06-01,963,963,1.0,131414,"15,38%",126552074,5.278376403,667989481,693654,"8,90%",487,259362,269,"12,96%",Paragolpe Del
2023,2023-07-01,844,844,1.0,131974,"0,43%",111386053,4.96345273,552859411,655046,"-5,57%",516,215625,255,"-5,14%",Paragolpe Del
2023,2023-08-01,990,990,1.0,165486,"25,39%",163831891,4.414247987,723194597,730499,"11,52%",646,253242,255,"0,13%",Paragolpe Del
2023,2023-09-01,890,890,1.0,175673,"6,16%",156349123,3.915084496,612120030,687775,"-5,85%",733,213045,239,"-6,42%",Paragolpe Del
2023,2023-10-01,815,816,1.0,202619,"15,34%",165337329,3.61497841,597690876,732464,"6,50%",912,181138,221,"-7,27%",Paragolpe Del
2023,2023-11-01,908,908,1.0,234003,"15,49%",212474739,3.204464403,680867740,749854,"2,37%",931,228038,251,"13,14%",Paragolpe Del
2023,2023-12-01,727,727,1.0,324560,"38,70%",235955750,2.55405664,602644352,828946,"10,55%",965,244380,336,"33,85%",Paragolpe Del
2024,2024-01-01,831,831,1.0,356197,"9,75%",296000251,2.117541803,626792906,754263,"-9,01%",1141,259240,311,"-7,20%",Paragolpe Del
2024,2024-02-01,779,779,1.0,391361,"9,87%",304870585,1.86994804,570092154,731825,"-2,97%",1081,281934,361,"16,01%",Paragolpe Del
2024,2024-03-01,718,718,1.0,434666,"11,07%",312090251,1.684490668,525713116,732190,"0,05%",1001,311590,433,"19,91%",Paragolpe Del
