año,AUT,marca,modelo,Codigo Modelo La Segunda,prima_dev_hist,prima_dev_ipc,ar_t,ns_t,ns_t_nro_sin,is_t,is_t_ipc
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERCEDES ATEGO 1325 FIRE TRUCK,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1419-36,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-S36 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 2426-54 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1726-48 TB CAB DOR,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,M. BENZ C ATEGO 1725-48,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 1932-LS36 CD TE AU,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,ATEGO,MERC.BENZ CAMIO ATEGO 2430-48 CD TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,LS 1633,MERCEDES BENZ LS 1633/45,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,1944,MERCEDES BENZ C LP 1944-28S FRONTAL,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2541-36 LS TE 6X2 CD S/R,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 1933-36 S,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2036-45 TE C/DORMITORIO,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2036-36 S TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 1933-45 TB,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2831-36 B,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 1933-36 LS TB CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2044-36 S TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2540-33 S TB 6X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2533-48 L TB 6X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2036-45 TB C/DOR. STARKER,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2036-45 TB C/DORMITORIO,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2831-48 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2535-33 S TB 6X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 3340-33 S 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2544-31 LS TE 6X2 CD,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,MERC.BENZ CAMIO AXOR 2536-31 LS TB 6X2 C,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 3131-36 K,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 3131-48 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2041-45 TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2541-36 LS TE 6X2 CD S/RE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 1933-36 S TE C/DORMITORIO,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M.BENZ AXOR 2036-36 S TB C/DOR. STARKER,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2036-36 S TB,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ AXOR 1933-36 LS TE C/DORMITORIO,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2040-36 S TB,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2035-36 S TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 3344-33 S 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 3341-48 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2831-36 K,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 1933-45 TE C/DORMITORIO,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,MERCEDES BENZ AXOR 3340/48 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 3340-33 K 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2533-36 LS TB 6X2,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,MERC.BENZ CAMIO AXOR 3344-48 6X4,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2041-36 S TE,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 3131-36 B,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2035-36 S TB,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2044-36 S TB,0,0,0,0,0,0,0
2024,AUT,MERCEDES BENZ CAMION,AXOR,M. BENZ C AXOR 2040-36 S TE,0,0,0,0,0,0,0
